Date,Added,Removed
08/26/10,TYC,SII
07/14/10,CB,MIL
06/30/10,QEP,STR
06/28/10,KMX,XTO
04/29/10,CERN,BJS
02/26/10,HP,RX
12/18/09,V,CIEN
12/18/09,MJN,DYN
12/18/09,CLF,KBH
12/18/09,SAIC,CVG
11/03/09,PCLN,SGP
09/28/09,ARG,CBE
03/03/09,HRL,ACAS
03/03/09,VTR,JNY
12/31/08,OI,WB
09/16/08,HRS,LEH
09/12/08,CRM,FRE
09/12/08,FAST,FNM
06/10/08,LO,ABK
12/20/07,RRC,TRB
12/13/07,GME,DJ
10/26/07,JEC,AV
10/02/07,EXPE,SLR
10/01/07,TDC,NCR
09/27/07,TSO,MXIM
09/26/07,ICE,FDC
08/24/07,LUK,KSE
03/30/07,KFT,TSG
01/10/07,AVB,SBL
06/02/06,JNPR,ABS
07/01/05,STZ,GLK
09/25/03,ESRX,QTRN
12/05/00,INTU,BS
12/05/00,SBL,OI
12/05/00,AYE,GRA
12/05/00,ABK,CCK
07/27/00,JDSU,RAD
12/07/99,YHOO,LDW
